latitude,longitude,bright_ti4,confidence,bright_ti5,frp
-36.573071,143.11026,367.0,h,299.49,16.12
-36.491646,144.299377,367.0,h,290.74,71.68
-36.569302,141.419983,367.0,h,293.05,7.34
-37.800373,141.269058,367.0,h,291.86,26.96
-35.519192,142.245468,367.0,h,293.7,4.0
-35.545387,142.29165600000002,367.0,h,296.74,15.62
-35.729122,141.59491,367.0,h,303.35,29.8
-35.729843,141.595291,367.0,h,304.12,31.45
-35.719776,141.57879599999998,367.0,h,340.71,87.39
-35.734840000000005,141.587921,367.0,h,329.85,55.71
-35.682972,141.58021499999998,367.0,h,310.79,100.5
-36.52771,143.841858,367.0,h,299.06,8.38
-37.489758,141.98580900000002,367.0,h,301.28,44.58
-38.341038,146.99748200000002,367.0,h,306.22,23.46
-37.242886,144.660522,367.0,h,326.15,65.96
-37.200359000000006,144.68383799999998,367.0,h,291.98,11.43
-37.189465000000006,144.669052,367.0,h,292.56,5.29
-37.182068,144.677551,367.0,h,294.6,24.43
-37.199844,144.68554699999999,367.0,h,291.12,9.94
-37.212959000000005,144.65313700000002,367.0,h,290.51,10.6
-37.216491999999995,144.713654,367.0,h,293.27,34.19
-38.689178000000005,146.130463,367.0,h,292.51,12.29
-37.163109000000006,141.09208700000002,367.0,h,312.99,75.72
-38.228072999999995,147.166046,367.0,h,296.51,13.15
-37.101085999999995,146.157608,367.0,h,314.55,11.67
-36.129711,146.661407,367.0,h,318.88,47.47
-36.169426,146.697174,367.0,h,303.8,28.49
-38.599971999999994,143.90638700000002,367.0,h,335.01,143.06
